"key","type","en","bg","br","cn","cz","de","dk","ee","es","fi","fr","gr","hr","hu","it","jp","lt","lu","lv","nl","pl","pt","ro","rs","ru","se","si","sk","tr","ua"
"INTL_LANG","define","EN","BG","BR","CN","CZ","DE","DK","EE","ES","FI","FR","GR","HR","HU","IT","JP","LT","LU","LV","NL","PL","PT","RO","RS","RU","SE","SI","SK","TR","UA"
"INTL_PM_SENSOR","define","Particulate matter sensor","Сензор за прахови частици","Sensor de partículas finas","颗粒物传感器","Senzor prachových částic","Feinstaubsensor","Partikelsensor","Tahkete osakeste sensor","Sensor de partículas finas","Hiukkasanturi","Détecteur de particules fines","Αισθητήρας σωματιδίων","Senzor čestica","Szálló por szenzor","Sensore polveri sottili","粒子状物質センサー","Kietųjų dalelių jutiklis","Reng Stëbspartikelensensor","Cieto daļiņu sensors","Fijnstofsensor","Czujnik pyłu zawieszonego","Sensor de partículas finas","Senzor de particule în suspensie","Senzor suspendovanih čestica","Датчик твердых мелкодисперсных частиц","Partikelsensor","Senzor za trdne delce","Senzor prachových častíc","Hava Kirliliği (Ince Toz) Ölçüm sensörü","Вимірювач дрібних часток"
"INTL_CONFIGURATION","const","Configuration","Конфигурация","Configuração","配置","Konfigurace","Konfiguration","Opsætning","Konfiguratsioon","Configuración","Konfigurointi","Configuration","Διαμόρφωση","Konfiguracija","Konfiguráció","Configurazione","構成","Konfigūracija","Konfiguratioun","Konfigurācija","Configuratie","Konfiguracja","Configuração","Configurație","Konfiguracija","Конфигурация","Inställningar","Konfiguracija","Konfigurácia","Yapılandırma","Налаштування"
"INTL_WIFI_SETTINGS","define","WiFi Settings","Настройки за WiFi","Configuracões de Wi-Fi","WiFi设置","Nastavení Wi-Fi","WLAN Daten","Wi-Fi indstillinger","WiFi seaded","Configuración WiFi","WiFi-asetukset","Paramètres wifi","Ρυθμίσεις WiFi","WiFi postavke","WiFi beállítások","Impostazioni Wifi","WiFi設定","WiFi nustatymai","WiFi Daten","Wi-Fi iestatījumi","WiFi-instellingen","Ustawienia WiFi","Configuração WiFi","Setări WiFi","WiFi podešavanja","Доступы к локальной сети Wi-Fi","WLAN konfiguration","Nastavitve WiFi","Nastavenie WiFi","WiFi bağlantı ayarları","Параметри WiFi"
"INTL_WIFI_NETWORKS","define","Loading wifi networks ...","Зареждането WiFi мрежи ...","Carregando redes Wi-Fi","加载wifi网络...","Vyhledávání Wi-Fi sítí ...","Lade WLAN Netzwerke ...","Leder efter Wi-Fi netværk...","Wifi võrkude laadimine ...","Carga de redes wifi ...","Wlan-verkkojen lataaminen ...","Chargement des réseaux wifi ...","Φόρτωση δικτύων wifi ...","Učitavanje wifi mreža ...","WiFi hálózatok keresése...","Ricarica reti wifi ...","wifiネットワークをロード中 ...","WiFi tinklų įkėlimas ...","WiFi Netzwierker lueden ...","Wifi tīklu ielāde ...","Zoeken naar WiFi-netwerken ...","Ładowanie sieci WiFi...","A carregar redes WiFi ...","Încărcare rețele wifi ...","Učitavanje WiFi mreža ...","Загрузить сети Wi-Fi ...","Laddar trådlösa nätverk...","Nalaganje omrežij wifi ...","Vyhľadávanie WiFi sieti..."," wifi ağlar yükleniyor ...","Пошук WiFi мереж..."
"INTL_LANGUAGE","define","Language","Език","Idioma","语种","Jazyk","Sprache","Sprog","Keel","Idioma","Kieli","Langage","Γλώσσα","Jezik","Nyelv","Lingua","言語","Kalba","Sprooch","Valoda","Taal","Język","Idioma","Limba","Jezik","Язык","Språk","Jezik","Jazyk","Lisan","Мова"
"INTL_NO_NETWORKS","const","No WiFi Network Found","Няма намерени мрежи","Redes Wi-Fi não detectadas","没有找到WiFi网络","Žádné Wi-Fi sítě v dosahu.","Keine Netzwerke gefunden","Ingen netværk fundet","WiFi võrku ei leitud","Red WiFi no detectada","WiFi-verkkoa ei löydy","Pas de réseau wifi","Δεν βρέθηκε δίκτυο WiFi","WiFi mreža nije pronađena","Nem találtam WiFi hálózatot","Nessuna rete WiFi trovata","WiFiネットワークが見つからない","Nerastas WiFi tinklas","Keng Netzwierker fonnt","Wi-Fi tīkls nav atrasts","Geen WiFi-netwerk gevonden","Nie znaleziono sieci WiFi","Redes WiFi não detetadas","Nu s-a găsit nicio rețea WiFi","Nije pronađena WiFi mreža","Cетей не найдено","Inga nätverk hittades","Omrežje WiFi ni bilo najdeno","Žiadne WiFi siete v dosahu.","No WiFi-Ağ Bulunamadı","Не знайдено жодної Wifi мережі"
"INTL_NETWORKS_FOUND","const","Found Networks: ","Намерени мрежи: ","Redes encontradas","发现网络。","Dostupné sítě: ","Netzwerke gefunden: ","Netværker fundet: ","Leitud võrgustikud:","Redes encontradas: ","Löydetyt verkostot:","Réseaux détectés: ","Βρέθηκαν δίκτυα:","Pronađene mreže: ","Talált WiFi hálózatok:","Reti trovate: ","ネットワークを発見。","Rasti tinklai:","Netzwierker fonnt: ","Atrastie tīkli:","Netwerk gevonden: ","Znalezione sieci: ","Redes encontradas: ","Rețele găsite:","Pronađene mreže: ","Найденые сети: ","Nätverk hittades: ","Najdena omrežja:","Dostupné siete: ","Bulunan Ağlar: ","Знайдені мережі"
"INTL_AB_HIER_NUR_ANDERN","const","Advanced settings (оnly if you know what you are doing)","Разширени настройки (само ако знаете какво правите)","Configuracões avançadas (apenas se sabe o que está fazendo)","高级设置（仅在您知道自己在做什么的情况下）。","Rozšířené nastavení (jen pokud víte, co děláte)","Ab hier nur ändern, wenn Sie wirklich wissen, was Sie tun","Ændr følgende kun hvis du ved hvad du laver","Täiustatud seaded (ainult siis, kui teate, mida teete)","Configuración avanzada (solo si sabes que lo que estas haciendo)","Lisäasetukset (vain jos tiedät, mitä teet)","Paramètres avancés (seulement si vous savez ce que vous faites)","Ρυθμίσεις για προχωρημένους (μόνο αν ξέρετε τι κάνετε)","Napredne postavke","Haladó beállítások (csak, ha tudod mit csinálsz)","Impostazioni avanzate (solo se sai quello che stai facendo)","高度な設定（何をしているか分かっている場合のみ","Išplėstiniai nustatymai (tik jei žinote, ką darote)","Ab hei nëmmen änneren, wann der wësst wat dir maacht","Uzlabotie iestatījumi (tikai tad, ja zināt, ko darāt)","Geavanceerde instellingen (enkel als je weet wat je doet)","Ustawienia zaawansowane (tylko gdy wiesz co robisz)","Configuração avançada (apenas se sabe o que está a fazer)","Setări avansate (numai dacă știți ce faceți)","Napredna podešavanja (samo ako znate šta radite)","Изменяйте значения ниже если действительно знаете что делаете","Ändra nedanför enbart om du verkligen vet vad du gör","Napredne nastavitve (samo če veste, kaj počnete)","Pokročilé nastavenia (iba ak viete, čo robíte)","Ileri ayarlar: (Uzmanlar için)","Експертні параметри (тільки якщо ви розумієте, що робите)"
"INTL_SAVE","const","Save","Запиши","Salvar","保存","Uložit","Speichern","Gem","Salvesta","Guardar","Tallenna","Enregistrer","Αποθήκευση","Spremi","Mentés","Salvare","保存","Išsaugoti","Späicheren","Saglabāt","Opslaan","Zapisz","Guardar","Salvați","Sačuvaj","Сохранить","Spara","Shrani","Uložiť","Sakla","Зберегти"
